cudagraph_mode,batch_size,sm_clock,input_len,model_name,kv_cache_lens,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
FULL,16,2422,4096,Qwen/Qwen3-8B_decoding,4099,843651,2080,2.2556,130,368.74741666666665,831.7466730333332,100.0,86.0
NONE,16,330,1024,Qwen/Qwen3-8B_prefill,0,439737,16,4.0308,1,108.8018524590164,438.55850689180335,100.0,5.229508196721311
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,1024,125690,384,0.9475,24,113.90747058823528,107.92732838235294,100.0,27.0
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,1025,1657388,384,0.9471,24,124.44811764705882,117.86481222352941,100.0,27.0
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,1026,1656066,384,0.9476,24,124.81183333333335,118.27169326666669,100.0,27.0
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,1027,1654813,384,0.9477,24,124.85849999999999,118.32840044999999,100.0,27.0
NONE,16,630,1024,Qwen/Qwen3-8B_prefill,0,328612,16,2.1676,1,155.84614705882353,337.8121083647059,100.0,9.352941176470589
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,1024,187123,736,1.1405,46,151.66405263157893,172.97285202631576,100.0,42.0
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,1025,171237,736,1.1417,46,156.29335,178.440117695,100.0,42.0
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,1026,1827578,736,1.1421,46,155.5816,177.68974536,100.0,42.0
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,1027,171630,736,1.1426,46,156.41084210526316,178.71502818947368,100.0,42.0
NONE,16,930,1024,Qwen/Qwen3-8B_prefill,0,318532,16,1.5527,1,199.22250000000003,309.33277575000005,100.0,12.961538461538462
FULL,16,930,1024,Qwen/Qwen3-8B_decoding,1024,2249934,1088,1.523,68,168.905375,257.242886125,100.0,47.0
