cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,gpu_util_pct
FULL,16,1830,256,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,1530,256,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,1530,256,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,1230,256,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,1230,256,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,930,256,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,930,256,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,2430,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,100.0
FULL,16,2430,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,100.0
NONE,16,2130,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,100.0
FULL,16,2130,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,100.0
NONE,16,1830,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,100.0
FULL,16,1830,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,100.0
NONE,16,1530,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,100.0
FULL,16,1530,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,100.0
NONE,16,1230,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,100.0
FULL,16,1230,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,100.0
NONE,16,930,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,100.0
FULL,16,930,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,100.0
NONE,16,2430,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,100.0
FULL,16,2430,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,100.0
NONE,16,2130,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,100.0
FULL,16,2130,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,100.0
NONE,16,1830,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,100.0
FULL,16,1830,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,100.0
NONE,16,1530,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,100.0
FULL,16,1530,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,100.0
NONE,16,1230,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,100.0
FULL,16,1230,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,100.0
NONE,16,930,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,100.0
FULL,16,930,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,100.0
NONE,16,2430,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,100.0
FULL,16,2430,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,100.0
NONE,16,2130,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,100.0
FULL,16,2130,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,100.0
NONE,16,1830,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,100.0
