cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,avg_temperature_C
FULL,16,1230,4096,nvidia/Qwen3-8B-FP8_decoding-all,38.67857142857142
NONE,16,930,4096,nvidia/Qwen3-8B-FP8_prefill-all,39.733333333333334
FULL,16,930,4096,nvidia/Qwen3-8B-FP8_decoding-all,35.05555555555556
NONE,16,2430,2048,nvidia/Qwen3-8B-FP8_prefill-all,52.61538461538461
FULL,16,2430,2048,nvidia/Qwen3-8B-FP8_decoding-all,45.53703703703704
NONE,16,2130,2048,nvidia/Qwen3-8B-FP8_prefill-all,58.51851851851851
FULL,16,2130,2048,nvidia/Qwen3-8B-FP8_decoding-all,46.333333333333336
NONE,16,1830,2048,nvidia/Qwen3-8B-FP8_prefill-all,54.76666666666667
FULL,16,1830,2048,nvidia/Qwen3-8B-FP8_decoding-all,44.666666666666664
NONE,16,1530,2048,nvidia/Qwen3-8B-FP8_prefill-all,48.55555555555555
FULL,16,1530,2048,nvidia/Qwen3-8B-FP8_decoding-all,41.85714285714286
NONE,16,1230,2048,nvidia/Qwen3-8B-FP8_prefill-all,44.13095238095238
FULL,16,1230,2048,nvidia/Qwen3-8B-FP8_decoding-all,38.476190476190474
NONE,16,930,2048,nvidia/Qwen3-8B-FP8_prefill-all,40.0
FULL,16,930,2048,nvidia/Qwen3-8B-FP8_decoding-all,35.04545454545455
NONE,16,2430,1024,nvidia/Qwen3-8B-FP8_prefill-all,53.16060606060606
FULL,16,2430,1024,nvidia/Qwen3-8B-FP8_decoding-all,45.129629629629626
NONE,16,2130,1024,nvidia/Qwen3-8B-FP8_prefill-all,57.074074074074076
FULL,16,2130,1024,nvidia/Qwen3-8B-FP8_decoding-all,45.416666666666664
NONE,16,1830,1024,nvidia/Qwen3-8B-FP8_prefill-all,52.791666666666664
FULL,16,1830,1024,nvidia/Qwen3-8B-FP8_decoding-all,43.654761904761905
NONE,16,1530,1024,nvidia/Qwen3-8B-FP8_prefill-all,47.074074074074076
FULL,16,1530,1024,nvidia/Qwen3-8B-FP8_decoding-all,40.833333333333336
NONE,16,1230,1024,nvidia/Qwen3-8B-FP8_prefill-all,43.80952380952382
FULL,16,1230,1024,nvidia/Qwen3-8B-FP8_decoding-all,37.595238095238095
NONE,16,930,1024,nvidia/Qwen3-8B-FP8_prefill-all,39.0
FULL,16,930,1024,nvidia/Qwen3-8B-FP8_decoding-all,34.446969696969695
NONE,16,2430,512,nvidia/Qwen3-8B-FP8_prefill-all,50.55555555555555
FULL,16,2430,512,nvidia/Qwen3-8B-FP8_decoding-all,43.104166666666664
NONE,16,2130,512,nvidia/Qwen3-8B-FP8_prefill-all,54.13333333333333
FULL,16,2130,512,nvidia/Qwen3-8B-FP8_decoding-all,43.885416666666664
NONE,16,1830,512,nvidia/Qwen3-8B-FP8_prefill-all,50.833333333333336
FULL,16,1830,512,nvidia/Qwen3-8B-FP8_decoding-all,42.5
NONE,16,1530,512,nvidia/Qwen3-8B-FP8_prefill-all,46.0
FULL,16,1530,512,nvidia/Qwen3-8B-FP8_decoding-all,40.19047619047619
NONE,16,1230,512,nvidia/Qwen3-8B-FP8_prefill-all,42.73333333333333
FULL,16,1230,512,nvidia/Qwen3-8B-FP8_decoding-all,37.30555555555555
NONE,16,930,512,nvidia/Qwen3-8B-FP8_prefill-all,38.77777777777778
FULL,16,930,512,nvidia/Qwen3-8B-FP8_decoding-all,34.40909090909091
NONE,16,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,50.24603174603175
FULL,16,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,43.2962962962963
NONE,16,2130,256,nvidia/Qwen3-8B-FP8_prefill-all,53.285714285714285
FULL,16,2130,256,nvidia/Qwen3-8B-FP8_decoding-all,44.0
NONE,16,1830,256,nvidia/Qwen3-8B-FP8_prefill-all,50.77777777777778
FULL,16,1830,256,nvidia/Qwen3-8B-FP8_decoding-all,42.535714285714285
NONE,16,1530,256,nvidia/Qwen3-8B-FP8_prefill-all,46.0
FULL,16,1530,256,nvidia/Qwen3-8B-FP8_decoding-all,40.11904761904762
NONE,16,1230,256,nvidia/Qwen3-8B-FP8_prefill-all,42.888888888888886
FULL,16,1230,256,nvidia/Qwen3-8B-FP8_decoding-all,37.166666666666664
NONE,16,930,256,nvidia/Qwen3-8B-FP8_prefill-all,38.32222222222222
FULL,16,930,256,nvidia/Qwen3-8B-FP8_decoding-all,34.333333333333336
NONE,16,2430,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,63.57142857142858
FULL,16,2430,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,55.06666666666666
NONE,16,2130,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,62.47863247863248
FULL,16,2130,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,51.611111111111114
NONE,16,1830,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,54.992592592592594
FULL,16,1830,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,46.78125
NONE,16,1530,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,46.24528301886792
FULL,16,1530,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,42.0
NONE,16,1230,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,42.302083333333336
FULL,16,1230,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,37.666666666666664
NONE,16,930,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,36.28888888888889
FULL,16,930,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,34.0
NONE,16,2430,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,61.30303030303031
FULL,16,2430,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,53.21296296296296
NONE,16,2130,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,60.57894736842105
FULL,16,2130,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,50.364583333333336
NONE,16,1830,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,54.54978354978355
FULL,16,1830,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,46.302083333333336
NONE,16,1530,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,47.080000000000005
FULL,16,1530,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,42.25
NONE,16,1230,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,43.13333333333333
FULL,16,1230,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,38.26190476190476
NONE,16,930,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,37.26190476190476
FULL,16,930,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,34.145833333333336
NONE,16,2430,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,58.23611111111111
FULL,16,2430,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,50.135416666666664
NONE,16,2130,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,58.68518518518518
FULL,16,2130,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,49.047619047619044
NONE,16,1830,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,53.79365079365079
FULL,16,1830,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,45.833333333333336
NONE,16,1530,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,47.12820512820513
FULL,16,1530,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,42.42857142857142
NONE,16,1230,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,43.800000000000004
FULL,16,1230,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,38.763888888888886
NONE,16,930,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,38.25396825396825
FULL,16,930,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,35.074999999999996
NONE,16,2430,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,58.050000000000004
FULL,16,2430,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,50.083333333333336
NONE,16,2130,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,58.574074074074076
FULL,16,2130,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,48.86904761904762
NONE,16,1830,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,53.570833333333326
FULL,16,1830,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,45.67857142857142
NONE,16,1530,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,47.24074074074074
FULL,16,1530,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,42.333333333333336
NONE,16,1230,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,43.84444444444444
FULL,16,1230,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,38.61904761904762
NONE,16,930,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,38.6060606060606
FULL,16,930,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,35.266666666666666
NONE,16,2430,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,54.172727272727265
FULL,16,2430,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,45.904761904761905
NONE,16,2130,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,54.870370370370374
FULL,16,2130,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,46.0
NONE,16,1830,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,51.458333333333336
FULL,16,1830,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,44.51190476190476
NONE,16,1530,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,46.50370370370371
FULL,16,1530,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,41.666666666666664
NONE,16,1230,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,43.125
FULL,16,1230,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,38.458333333333336
NONE,16,930,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,38.72222222222222
FULL,16,930,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,35.34259259259259
NONE,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,54.083333333333336
FULL,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,45.989583333333336
NONE,16,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,55.36363636363637
FULL,16,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,46.07142857142858
NONE,16,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,51.66919191919192
FULL,16,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,44.404761904761905
NONE,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,46.93939393939394
FULL,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,41.625
NONE,16,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,43.3939393939394
