cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_avg_power_W
FULL,16,2130,8192,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,315.778
NONE,16,1830,8192,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,355.1825166666667
FULL,16,1830,8192,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,277.18241517857143
NONE,16,1530,8192,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,256.8894397163121
FULL,16,1530,8192,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,252.23696428571432
NONE,16,1230,8192,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,220.26032224238756
FULL,16,1230,8192,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,202.56209523809522
NONE,16,930,8192,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,158.2195
FULL,16,930,8192,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,176.32450946969698
NONE,16,2430,4096,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,600.9548505747126
FULL,16,2430,4096,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,365.60603125000006
NONE,16,2130,4096,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,453.6309607843137
FULL,16,2130,4096,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,303.859011904762
NONE,16,1830,4096,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,353.93591228070176
FULL,16,1830,4096,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,264.4344821428572
NONE,16,1530,4096,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,258.27046969696966
FULL,16,1530,4096,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,239.40991666666665
