sm_clock,kv_group,kv_cache_lens,graph_mode,batch_size,avg_power,avg_total_energy_delta,avg_print_index,points
1320,1024,1040,seg,2,208.74916666666664,437059.0,16.5,12
1320,1024,1040,seg,3,210.34436363636362,462305.0,16.0,11
1320,1024,1040,seg,4,210.50891666666666,461166.0,16.5,12
1320,1024,1040,seg,5,213.94050000000001,469731.0,16.5,12
1320,1024,1040,seg,6,212.71091666666666,488328.0,16.5,12
1320,1024,1040,seg,7,214.27891666666667,490923.0,17.5,12
1320,1024,1040,seg,8,215.46633333333332,493249.0,16.5,12
1320,1024,1040,seg,9,219.14083333333335,525398.0,17.5,12
1320,1024,1040,seg,10,220.59849999999997,505809.0,17.5,12
1320,1024,1040,seg,11,221.49633333333335,508264.0,17.5,12
1320,1024,1040,seg,12,221.80646153846152,530390.0,18.0,13
1320,1024,1040,seg,13,222.64341666666667,532275.0,17.5,12
1320,1024,1040,seg,14,222.7153076923077,533172.0,18.0,13
1320,1024,1040,seg,15,222.50084615384614,532650.0,18.0,13
1320,1024,1040,seg,16,222.51246153846157,532202.0,18.0,13
1320,1024,1041,mani,1,223.24363636363634,445405.0,16.0,11
1320,1024,1041,mani,2,210.7977272727273,441135.0,16.0,11
1320,1024,1041,mani,3,213.23118181818182,446583.0,16.0,11
1320,1024,1041,mani,4,212.04616666666666,465794.0,16.5,12
1320,1024,1041,mani,5,212.30825000000002,464901.0,16.5,12
1320,1024,1041,mani,6,210.56483333333335,482624.0,17.5,12
1320,1024,1041,mani,7,212.99533333333332,467091.0,17.5,12
1320,1024,1041,mani,8,215.04358333333334,492624.0,17.5,12
1320,1024,1041,mani,9,213.87541666666667,511233.0,17.5,12
1320,1024,1041,mani,10,215.82616666666664,495315.0,17.5,12
1320,1024,1041,mani,11,217.8705,521340.0,17.5,12
1320,1024,1041,mani,12,220.5333076923077,527739.0,18.0,13
1320,1024,1041,mani,13,222.739,532905.0,18.0,13
1320,1024,1041,mani,14,223.4710769230769,534895.0,18.0,13
1320,1024,1041,mani,15,223.47523076923076,535054.0,18.0,13
1320,1024,1041,mani,16,223.56346153846152,556410.0,18.0,13
1320,1024,1041,seg,1,221.82554545454548,464470.0,15.0,11
1320,1024,1041,seg,2,208.7130909090909,437059.0,16.0,11
1320,1024,1041,seg,3,210.97858333333332,462966.0,16.5,12
1320,1024,1041,seg,4,210.56325,461060.0,16.5,12
1320,1024,1041,seg,5,214.64724999999999,469731.0,16.5,12
1320,1024,1041,seg,6,212.52566666666667,466915.0,17.5,12
1320,1024,1041,seg,7,214.36791666666667,470206.0,17.5,12
1320,1024,1041,seg,8,215.04216666666665,472708.0,16.5,12
1320,1024,1041,seg,9,219.85830769230768,502840.0,18.0,13
1320,1024,1041,seg,10,220.60376923076925,526912.0,18.0,13
1320,1024,1041,seg,11,221.33015384615385,529066.0,18.0,13
1320,1024,1041,seg,12,222.29325000000003,531680.0,17.5,12
1320,1024,1041,seg,13,222.651,532623.0,18.0,13
1320,1024,1041,seg,14,222.63130769230767,533170.0,18.0,13
1320,1024,1041,seg,15,222.605,554480.0,18.0,13
