batch_size,sm_clock,input_len,model_name,kv_cache_lens,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
16,1530,8192,mlp,8223,633068,4320,2.524,270,253.55484615384617,639.9724316923077,100.0,74.0
16,1530,8192,mlp,8224,633074,4320,2.5239,270,253.58976923076926,640.0352185615385,100.0,74.0
16,1530,8192,mlp,8225,632575,4320,2.524,270,253.60284615384614,640.0935836923077,100.0,74.0
16,1530,8192,mlp,8226,633456,4320,2.5238,270,253.7223846153846,640.3445542923077,100.0,74.0
16,1530,8192,mlp,8227,658626,4320,2.5238,270,253.7276153846154,640.3577557076924,100.0,74.0
16,1530,8192,mlp,8228,658300,4320,2.5239,270,253.71023076923075,640.3392514384615,100.0,74.0
16,1530,8192,mlp,8229,633352,4320,2.5239,270,253.74969230769233,640.4388484153847,100.0,74.0
16,1530,8192,mlp,8230,633419,4320,2.5236,270,253.72846153846152,640.3091455384615,100.0,74.0
16,1530,8192,mlp,8231,633030,4320,2.5238,270,253.72584615384616,640.3532905230769,100.0,74.0
16,1530,8192,mlp,8232,633601,4320,2.5239,270,253.76223076923077,640.4704942384615,100.0,74.0
16,1530,8192,mlp,8233,633658,4320,2.5236,270,253.78792307692305,640.459202676923,100.0,74.0
16,1530,8192,mlp,8234,658596,4320,2.5236,270,253.83284615384622,640.5725705538464,100.0,74.0
16,1530,8192,mlp,8235,658650,4320,2.5234,270,253.8592307692308,640.588382923077,100.0,74.0
16,1530,8192,mlp,8236,633759,4320,2.5236,270,253.8738461538462,640.6760381538462,100.0,74.0
16,1530,8192,mlp,8237,633666,4320,2.5238,270,253.85384615384615,640.676336923077,100.0,74.0
16,1530,8192,mlp,8238,633475,4320,2.5238,270,253.83246153846156,640.6223664307693,100.0,74.0
16,1830,8192,mlp,8209,654997,4320,2.1546,270,298.4065454545455,642.9467428363637,100.0,87.0
16,1830,8192,mlp,8210,655788,4320,2.1545,270,298.5112727272727,643.1425370909091,100.0,87.0
16,1830,8192,mlp,8211,656079,4320,2.1545,270,298.6911818181818,643.5301512272728,100.0,87.0
16,1830,8192,mlp,8212,626795,4320,2.1545,270,298.8463636363636,643.8644904545454,100.0,87.0
16,1830,8192,mlp,8213,626923,4320,2.1545,270,299.0715454545455,644.3496446818183,100.0,87.0
16,1830,8192,mlp,8214,657160,4320,2.1545,270,298.98872727272726,644.1712129090909,100.0,87.0
16,1830,8192,mlp,8215,657191,4320,2.1545,270,299.1388181818182,644.4945837727273,100.0,87.0
16,1830,8192,mlp,8216,627710,4320,2.1545,270,299.30308333333335,644.8484930416668,100.0,87.0
16,1830,8192,mlp,8217,628047,4320,2.1547,270,299.471,645.2701637,100.0,87.0
16,1830,8192,mlp,8218,658034,4320,2.1546,270,298.99745454545456,644.2199155636364,100.0,87.0
16,1830,8192,mlp,8219,658136,4320,2.1545,270,299.57036363636365,645.4243484545456,100.0,87.0
16,1830,8192,mlp,8220,658597,4320,2.1546,270,299.73391666666663,645.8066968499999,100.0,87.0
16,1830,8192,mlp,8221,628661,4320,2.1545,270,299.68899999999996,645.6799504999999,100.0,87.0
16,1830,8192,mlp,8222,628681,4320,2.1545,270,299.78881818181816,645.8950087727272,100.0,87.0
16,1830,8192,mlp,8223,658681,4320,2.1546,270,299.8876363636363,646.1379013090908,100.0,87.0
16,1830,8192,mlp,8224,659068,4320,2.1546,270,299.895,646.1537669999999,100.0,87.0
16,1830,8192,mlp,8225,659077,4320,2.1545,270,299.9934545454546,646.3358978181819,100.0,87.0
16,1830,8192,mlp,8226,629091,4320,2.1546,270,300.08863636363634,646.5709759090909,100.0,87.0
16,1830,8192,mlp,8227,629210,4320,2.1545,270,299.9135,646.16363575,100.0,87.0
16,1830,8192,mlp,8228,659281,4320,2.1546,270,299.52909090909094,645.3653792727273,100.0,87.0
16,1830,8192,mlp,8229,659375,4320,2.1546,270,299.95009090909093,646.2724658727273,100.0,87.0
16,1830,8192,mlp,8230,659871,4320,2.1546,270,300.15745454545464,646.7192515636365,100.0,87.0
16,1830,8192,mlp,8231,629652,4320,2.1546,270,300.19045454545454,646.7903533636363,100.0,87.0
16,1830,8192,mlp,8232,630003,4320,2.1546,270,300.2593636363636,646.938824890909,100.0,87.0
16,1830,8192,mlp,8233,629556,4320,2.1547,270,299.0681818181818,644.4022113636364,100.0,87.0
16,1830,8192,mlp,8234,659914,4320,2.1547,270,300.25433333333336,646.9580120333334,100.0,87.0
16,1830,8192,mlp,8235,660067,4320,2.1547,270,300.3918181818181,647.2542506363635,100.0,87.0
16,1830,8192,mlp,8236,629843,4320,2.1545,270,300.28572727272734,646.965599409091,100.0,87.0
16,1830,8192,mlp,8237,630031,4320,2.1546,270,300.3603636363637,647.1564394909092,100.0,87.0
16,1830,8192,mlp,8238,660074,4320,2.1546,270,300.4031818181818,647.2486955454544,100.0,87.0
16,2130,8192,mlp,8209,695298,4320,2.0805,270,331.51045454545454,689.7075006818181,100.0,90.0
16,2130,8192,mlp,8210,695630,4320,2.0805,270,331.7110909090909,690.1249246363635,100.0,90.0
16,2130,8192,mlp,8211,693122,4320,2.0806,270,331.6798181818182,690.093029709091,100.0,90.0
16,2130,8192,mlp,8212,654433,4320,2.0807,270,312.2023636363637,649.5994580181821,100.0,90.0
16,2130,8192,mlp,8213,654489,4320,2.0808,270,312.0245454545455,649.2606741818182,100.0,90.0
16,2130,8192,mlp,8214,654788,4320,2.0808,270,312.19472727272733,649.614788509091,100.0,90.0
16,2130,8192,mlp,8215,654971,4320,2.0808,270,312.1976363636364,649.6208417454545,100.0,90.0
16,2130,8192,mlp,8216,654679,4320,2.0808,270,312.4070909090909,650.0566747636364,100.0,90.0
16,2130,8192,mlp,8217,654977,4320,2.0808,270,312.3774545454545,649.9950074181817,100.0,90.0
16,2130,8192,mlp,8218,654993,4320,2.0809,270,312.52681818181816,650.3370559545455,100.0,90.0
16,2130,8192,mlp,8219,655313,4320,2.0808,270,312.5094545454545,650.2696730181817,100.0,90.0
16,2130,8192,mlp,8220,655256,4320,2.0808,270,312.5086363636364,650.2679705454547,100.0,90.0
