cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_avg_power_W
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-attn,391.0316111111111
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-attn,250.3770972222222
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-attn,265.8305833333333
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-attn,209.95408333333333
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-attn,232.7628
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-attn,186.0435972222222
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-attn,198.20694444444447
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-attn,164.85115740740744
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-attn,599.9939523809525
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-attn,333.06940018315015
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-attn,509.56397435897435
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-attn,277.7454444444444
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-attn,406.74704273504267
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-attn,239.57254987373736
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-attn,302.7359166666667
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-attn,201.58806060606062
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-attn,239.21951515151514
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-attn,178.74664393939395
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-attn,194.5404848484848
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-attn,155.02532407407406
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-attn,570.2785714285714
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-attn,321.9189696969697
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-attn,436.500619047619
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-attn,267.91963333333337
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-attn,348.73104761904756
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-attn,229.87545000000003
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-attn,261.6732857142857
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-attn,206.25358148148146
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-attn,205.70205555555557
FULL,16,1230,512,Qwen/Qwen3-8B_decoding-attn,171.96319259259258
NONE,16,930,512,Qwen/Qwen3-8B_prefill-attn,173.465
FULL,16,930,512,Qwen/Qwen3-8B_decoding-attn,147.38431770833333
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-attn,598.4543076923077
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-attn,314.29406818181815
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-attn,466.7885363247863
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-attn,259.7982946969697
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-attn,370.2398055555556
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-attn,220.96294999999998
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-attn,272.81086111111114
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-attn,192.05349444444445
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-attn,214.6025277777778
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-attn,164.9771740740741
NONE,16,930,256,Qwen/Qwen3-8B_prefill-attn,177.9896792929293
FULL,16,930,256,Qwen/Qwen3-8B_decoding-attn,141.12631035539215
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-mlp,600.7521622807017
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-mlp,380.4374441077441
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-mlp,579.4295042735042
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-mlp,318.9380028846154
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-mlp,455.07690993265993
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-mlp,282.18484047619046
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-mlp,325.6659259259259
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-mlp,232.83777696078434
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-mlp,251.21843107546047
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-mlp,206.73695751633986
