cudagraph_mode,manipulated,batch_size,graph_batch_size,during_time,index,length,avg_power_js,total_energy_j,energy_per_sample,throughput,timestamp,power,temperature,graphics_clock,sm_clock,memory_clock,memory_used,memory_total,gpu_util,memory_util,power_violation_time_ns,power_reference_time_ns,thermal_violation_time_ns,decoding_steps,perf_state,power_state,total_energy,model_mode,kv_cache_lens,model_name,graph_mode,repeat_count
FULL,,16,16,2.7030,20,26,,,,,1773199527.4077845,227.279,61,1320,1320,9001,45402.0625,46068.0,100,100,14358783404448,1773199527399649,0,,0,0,24663802118,,8193,llama,all,60
FULL,,16,16,2.7030,21,26,,,,,1773199527.5167348,227.314,61,1320,1320,9001,45402.0625,46068.0,100,100,14358893405216,1773199527509650,0,,0,0,24663824834,,8193,llama,all,60
FULL,,16,16,2.7030,22,26,,,,,1773199527.6249375,227.244,61,1320,1320,9001,45402.0625,46068.0,100,100,14359002173216,1773199527618418,0,,0,0,24663847533,,8193,llama,all,60
FULL,,16,16,2.7030,23,26,,,,,1773199527.7363033,227.429,61,1320,1320,9001,45402.0625,46068.0,100,100,14359110283808,1773199527726529,0,,0,0,24663870262,,8193,llama,all,60
FULL,,16,16,2.7030,24,26,,,,,1773199527.8448987,227.452,61,1320,1320,9001,45402.0625,46068.0,100,100,14359221688416,1773199527837933,0,,0,0,24663892954,,8193,llama,all,60
FULL,,16,16,2.7030,25,26,,,,,1773199527.9561346,227.421,61,1320,1320,9001,45402.0625,46068.0,100,100,14359330275296,1773199527946520,0,,0,0,24663915698,,8193,llama,all,60
FULL,,16,16,2.7030,26,26,,,,,1773199528.0666084,227.244,61,1320,1320,9001,45402.0625,46068.0,100,100,14359446944160,1773199528063188,0,,0,0,24663938345,,8193,llama,all,60
FULL,,16,16,2.7025,1,26,,,,,1773199528.0761106,227.244,61,1320,1320,9001,45402.0625,46068.0,100,100,14359455084800,1773199528071329,0,,0,0,24663938345,,8194,llama,all,60
FULL,,16,16,2.7025,2,26,,,,,1773199528.0626264,227.244,61,1320,1320,9001,45402.0625,46068.0,100,100,14359441486624,1773199528057732,0,,0,0,24663938345,,8194,llama,all,60
FULL,,16,16,2.7025,3,26,,,,,1773199528.1767185,226.251,61,1320,1320,9001,45402.0625,46068.0,100,100,14359547936096,1773199528164182,0,,0,0,24663959238,,8194,llama,all,60
FULL,,16,16,2.7025,4,26,,,,,1773199528.2848575,226.26,61,1320,1320,9001,45402.0625,46068.0,100,100,14359662200960,1773199528278447,0,,0,0,24663981798,,8194,llama,all,60
FULL,,16,16,2.7025,5,26,,,,,1773199528.3957496,226.238,61,1320,1320,9001,45402.0625,46068.0,100,100,14359770129664,1773199528386375,0,,0,0,24664004491,,8194,llama,all,60
FULL,,16,16,2.7025,6,26,,,,,1773199528.5045161,226.247,61,1320,1320,9001,45402.0625,46068.0,100,100,14359881049600,1773199528497295,0,,0,0,24664049914,,8194,llama,all,60
FULL,,16,16,2.7025,7,26,,,,,1773199528.6666334,226.172,61,1320,1320,9001,45402.0625,46068.0,100,100,14360043768320,1773199528660014,0,,0,0,24664072617,,8194,llama,all,60
FULL,,16,16,2.7025,8,26,,,,,1773199528.775414,226.116,61,1320,1320,9001,45402.0625,46068.0,100,100,14360152141536,1773199528768387,0,,0,0,24664095290,,8194,llama,all,60
FULL,,16,16,2.7025,9,26,,,,,1773199528.9659066,226.103,61,1320,1320,9001,45402.0625,46068.0,100,100,14360338317120,1773199528954563,0,,0,0,24664140726,,8194,llama,all,60
FULL,,16,16,2.7025,10,26,,,,,1773199529.0756469,226.036,61,1320,1320,9001,45402.0625,46068.0,100,100,14360451840416,1773199529068087,0,,0,0,24664163428,,8194,llama,all,60
FULL,,16,16,2.7025,11,26,,,,,1773199529.1841114,226.125,61,1320,1320,9001,45402.0625,46068.0,100,100,14360560897568,1773199529177144,0,,0,0,24664186144,,8194,llama,all,60
FULL,,16,16,2.7025,12,26,,,,,1773199529.2951567,227.206,61,1320,1320,9001,45402.0625,46068.0,100,100,14360669385760,1773199529285632,0,,0,0,24664208846,,8194,llama,all,60
FULL,,16,16,2.7025,13,26,,,,,1773199529.4043827,227.153,61,1320,1320,9001,45402.0625,46068.0,100,100,14360780352832,1773199529396599,0,,0,0,24664254311,,8194,llama,all,60
FULL,,16,16,2.7025,14,26,,,,,1773199529.515023,227.113,61,1320,1320,9001,45402.0625,46068.0,100,100,14360889647520,1773199529505894,0,,0,0,24664277001,,8194,llama,all,60
FULL,,16,16,2.7025,15,26,,,,,1773199529.62366,227.017,61,1320,1320,9001,45402.0625,46068.0,100,100,14361000260384,1773199529616507,0,,0,0,24664299696,,8194,llama,all,60
