cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding,4096,2422,808094,2080,2.2554,130,367.7526666666667,829.4293644,100.0,88.0
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding,4096,2422,849585,2080,2.2556,130,369.9515833333333,834.4627913666666,100.0,88.0
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding,4096,2422,852452,2080,2.2558,130,371.09799999999996,837.1228683999998,100.0,88.0
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding,4097,2422,807866,2080,2.2551,130,367.69225,829.1827929750001,100.0,88.0
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding,4097,2422,811956,2080,2.2555,130,369.5788333333333,833.5850585833333,100.0,88.0
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding,4097,2422,851651,2080,2.2555,130,370.68941666666666,836.0899792916666,100.0,88.0
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding,4098,2422,843887,2080,2.2552,130,367.4495833333333,828.6723003333332,100.0,88.0
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding,4098,2422,847860,2080,2.2555,130,369.2404166666667,832.8217597916668,100.0,88.0
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding,4098,2422,813261,2080,2.2558,130,370.20008333333334,835.0973479833333,100.0,88.0
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding,4099,2422,843985,2080,2.2555,130,367.35425000000004,828.5675108750002,100.0,88.0
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding,4099,2422,847855,2080,2.2557,130,368.7923333333333,831.8848663,100.0,88.0
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding,4099,2422,849422,2080,2.2558,130,369.8210000000001,834.2422118000001,100.0,88.0
NONE,16,330,1024,Qwen/Qwen3-8B_prefill,0,330,439831,16,4.0277,1,109.89104999999999,442.608182085,100.0,2.8
NONE,16,330,1024,Qwen/Qwen3-8B_prefill,0,330,433655,16,4.0317,1,107.9647,435.28128098999997,100.0,2.6
NONE,16,330,1024,Qwen/Qwen3-8B_prefill,0,330,441032,16,4.0293,1,107.53450000000001,433.28876085,100.0,2.7
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,1024,330,238868,768,1.8945,48,125.9546,238.6209897,100.0,26.0
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,1024,330,236303,768,1.8937,48,124.57710000000002,235.91165427,100.0,26.0
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,1024,330,223085,768,1.8905,48,123.71260000000002,233.87867030000004,100.0,26.1
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,1025,330,238521,768,1.897,48,125.82560000000001,238.6911632,100.0,26.0
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,1025,330,236474,768,1.8933,48,124.7268,236.14525043999998,100.0,26.2
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,1025,330,235277,768,1.8907,48,123.8436,234.15109452,100.0,26.0
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,1026,330,238220,768,1.8978,48,125.57440000000001,238.31509632,100.0,26.0
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,1026,330,236442,768,1.8928,48,124.4405,235.5409784,100.0,26.0
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,1026,330,235190,768,1.8908,48,123.8371,234.15118868000002,100.0,26.4
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,1027,330,237654,768,1.8954,48,125.1614,237.23091756,100.0,26.0
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,1027,330,236202,768,1.8926,48,124.7403,236.08349178,100.0,26.0
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,1027,330,235299,768,1.8879,48,124.30610000000001,234.67748619000002,100.0,26.4
NONE,16,630,1024,Qwen/Qwen3-8B_prefill,0,630,327908,16,2.1678,1,155.52954545454546,337.15694863636367,100.0,5.454545454545454
NONE,16,630,1024,Qwen/Qwen3-8B_prefill,0,630,343761,16,2.1677,1,156.0536666666667,338.2775332333334,100.0,5.25
NONE,16,630,1024,Qwen/Qwen3-8B_prefill,0,630,327546,16,2.1674,1,156.30216666666664,338.7693160333333,100.0,5.416666666666667
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,1024,630,358637,1472,2.2819,92,156.40725,356.905703775,100.0,42.0
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,1024,630,358780,1472,2.2813,92,156.04800000000003,355.9923024,100.0,42.0
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,1024,630,358209,1472,2.2814,92,156.09925,356.12482895000005,100.0,42.0
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,1025,630,358379,1472,2.2848,92,156.07133333333334,356.59178240000006,100.0,42.0
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,1025,630,358303,1472,2.2837,92,156.01091666666667,356.28213039166667,100.0,42.0
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,1025,630,358415,1472,2.2846,92,155.89508333333333,356.15790738333334,100.0,42.0
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,1026,630,358317,1472,2.2843,92,156.17733333333337,356.7558825333334,100.0,42.0
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,1026,630,358391,1472,2.2847,92,156.05216666666666,356.5323851833333,100.0,42.0
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,1026,630,357834,1472,2.2841,92,156.0755833333333,356.4922398916666,100.0,42.0
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,1027,630,358164,1472,2.285,92,156.16775,356.84330875000006,100.0,42.0
