cudagraph_mode,batch_size,sm_clock,input_len,model_name,gpu_util_pct
FULL,64,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,16,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,8,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,512,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,256,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,128,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,64,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,16,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,8,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,512,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,256,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,128,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,128,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,64,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,16,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,8,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,8,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,512,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,256,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,128,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,64,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,16,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,8,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,512,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,256,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,128,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,64,1522,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,8,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,512,1830,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,256,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,128,1815,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,128,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,64,1807,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,16,1815,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,16,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,8,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,512,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,512,2130,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,256,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,128,2115,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,64,2115,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,16,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,8,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,8,2115,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,512,2415,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,256,2407,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,128,2392,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,128,2400,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,64,2407,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,16,2415,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
FULL,8,2422,256,JunHowie/Qwen3-8B-GPTQ-Int4,100.0
