cudagraph_mode,batch_size,sm_clock,input_len,model_name,power_based_avg_power_W
FULL,128,1815,256,nvidia/Qwen3-8B-NVFP4,255.68689066515495
FULL,64,1822,256,nvidia/Qwen3-8B-NVFP4,229.67090204939902
FULL,16,1830,256,nvidia/Qwen3-8B-NVFP4,196.78506639566396
FULL,8,1830,256,nvidia/Qwen3-8B-NVFP4,190.32153993868448
FULL,512,2107,256,nvidia/Qwen3-8B-NVFP4,387.19221621621614
FULL,512,2115,256,nvidia/Qwen3-8B-NVFP4,372.6818160024158
FULL,256,2107,256,nvidia/Qwen3-8B-NVFP4,329.5582756057423
FULL,128,2115,256,nvidia/Qwen3-8B-NVFP4,289.26425453060006
FULL,128,2122,256,nvidia/Qwen3-8B-NVFP4,274.26935353535356
FULL,64,2122,256,nvidia/Qwen3-8B-NVFP4,279.227358230401
FULL,16,2130,256,nvidia/Qwen3-8B-NVFP4,247.28761148148146
FULL,8,2130,256,nvidia/Qwen3-8B-NVFP4,238.53629777777783
FULL,512,2407,256,nvidia/Qwen3-8B-NVFP4,467.4679624747869
FULL,256,2407,256,nvidia/Qwen3-8B-NVFP4,418.5030285336922
FULL,128,2415,256,nvidia/Qwen3-8B-NVFP4,343.79403378245473
FULL,64,2422,256,nvidia/Qwen3-8B-NVFP4,311.75016538935876
FULL,16,2422,256,nvidia/Qwen3-8B-NVFP4,272.68837013888896
FULL,8,2422,256,nvidia/Qwen3-8B-NVFP4,263.2584545454546
FULL,8,2287,256,nvidia/Qwen3-8B-NVFP4,275.67601841271835
FULL,8,2295,256,nvidia/Qwen3-8B-NVFP4,275.95782651928187
FULL,512,330,256,nvidia/Qwen3-8B-FP8,108.2609264956013
FULL,256,330,256,nvidia/Qwen3-8B-FP8,113.79392684467413
FULL,128,330,256,nvidia/Qwen3-8B-FP8,111.93085138810466
FULL,64,330,256,nvidia/Qwen3-8B-FP8,113.41285606060605
FULL,16,330,256,nvidia/Qwen3-8B-FP8,103.23995010822512
FULL,8,330,256,nvidia/Qwen3-8B-FP8,106.55542318030359
FULL,512,630,256,nvidia/Qwen3-8B-FP8,150.47217586580086
FULL,256,630,256,nvidia/Qwen3-8B-FP8,156.5739161014911
FULL,128,630,256,nvidia/Qwen3-8B-FP8,151.39842255515805
FULL,64,630,256,nvidia/Qwen3-8B-FP8,150.86212030819559
FULL,16,630,256,nvidia/Qwen3-8B-FP8,132.8708996825397
FULL,8,630,256,nvidia/Qwen3-8B-FP8,131.91490231481478
FULL,512,930,256,nvidia/Qwen3-8B-FP8,182.6167133550094
FULL,256,922,256,nvidia/Qwen3-8B-FP8,187.33820154061627
FULL,128,900,256,nvidia/Qwen3-8B-FP8,178.90580472126953
FULL,128,907,256,nvidia/Qwen3-8B-FP8,179.5785625
FULL,64,922,256,nvidia/Qwen3-8B-FP8,167.92676644148656
FULL,64,930,256,nvidia/Qwen3-8B-FP8,167.63369852941176
FULL,16,922,256,nvidia/Qwen3-8B-FP8,147.56830877927175
FULL,16,930,256,nvidia/Qwen3-8B-FP8,147.50182894736844
FULL,8,922,256,nvidia/Qwen3-8B-FP8,145.76155515006312
FULL,8,930,256,nvidia/Qwen3-8B-FP8,145.82888725490199
FULL,512,1230,256,nvidia/Qwen3-8B-FP8,224.78674902392484
FULL,256,1230,256,nvidia/Qwen3-8B-FP8,231.91024877506464
FULL,128,1230,256,nvidia/Qwen3-8B-FP8,218.89091737528346
FULL,64,1230,256,nvidia/Qwen3-8B-FP8,195.06012505256078
FULL,16,1230,256,nvidia/Qwen3-8B-FP8,171.64946667538123
FULL,8,1230,256,nvidia/Qwen3-8B-FP8,169.3857031717888
FULL,512,1530,256,nvidia/Qwen3-8B-FP8,272.19706303524214
FULL,256,1515,256,nvidia/Qwen3-8B-FP8,272.38473755984813
FULL,128,1522,256,nvidia/Qwen3-8B-FP8,278.9912274580095
FULL,64,1530,256,nvidia/Qwen3-8B-FP8,244.9807679910869
FULL,16,1530,256,nvidia/Qwen3-8B-FP8,210.86997382888111
FULL,8,1530,256,nvidia/Qwen3-8B-FP8,205.84434585470083
FULL,512,1815,256,nvidia/Qwen3-8B-FP8,330.7758331913816
FULL,256,1792,256,nvidia/Qwen3-8B-FP8,329.4486161867409
FULL,128,1807,256,nvidia/Qwen3-8B-FP8,305.8044965931088
FULL,64,1830,256,nvidia/Qwen3-8B-FP8,285.41117348588483
FULL,16,1830,256,nvidia/Qwen3-8B-FP8,249.47961167834498
