cudagraph_mode,batch_size,sm_clock,input_len,model_name,memory_util_pct
FULL,256,2362,256,nvidia/Qwen3-8B-FP8,69.06238859180036
FULL,256,2370,256,nvidia/Qwen3-8B-FP8,70.0
FULL,128,2415,256,nvidia/Qwen3-8B-FP8,73.48125
FULL,64,2422,256,nvidia/Qwen3-8B-FP8,73.26106526631658
FULL,16,2422,256,nvidia/Qwen3-8B-FP8,66.0
FULL,8,2422,256,nvidia/Qwen3-8B-FP8,67.0
FULL,512,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,9.999412850700645
FULL,256,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,10.611701044053985
FULL,128,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,12.303272478887235
FULL,64,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,15.002470355731226
FULL,16,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,23.001587301587303
FULL,8,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,24.791735084838532
FULL,512,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,18.618194713782948
FULL,256,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,19.51966873706004
FULL,128,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,21.775608340587823
FULL,64,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,27.658216783216787
FULL,16,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,34.0
FULL,8,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,34.0
FULL,512,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,23.884996947496944
FULL,256,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,25.210639210639208
FULL,128,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,27.88757396449704
FULL,128,922,256,JunHowie/Qwen3-8B-GPTQ-Int8,27.0
FULL,64,922,256,JunHowie/Qwen3-8B-GPTQ-Int8,34.39157796451914
FULL,64,915,256,JunHowie/Qwen3-8B-GPTQ-Int8,34.116883116883116
FULL,16,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,38.0
FULL,8,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,38.0
FULL,512,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,31.99564776933567
FULL,256,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,33.47445927289461
