cudagraph_mode,batch_size,sm_clock,input_len,model_name,kv_cache_lens,iteration,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
FULL,128,330,256,Qwen/Qwen3-8B,271,12,1404659,23040,11.8248,180,118.15322807017543,1397.1382912842105,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,272,13,1393294,23040,11.8311,180,118.09194736842107,1397.1576385105266,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,273,14,1392498,23040,11.8308,180,118.12885964912282,1397.558912736842,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,274,15,1393366,23040,11.8176,180,118.23287719298246,1397.2288495157895,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,275,16,1393603,23040,11.8125,180,118.18098245614034,1396.0128552631577,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,276,17,1404916,23040,11.8079,180,118.23980701754387,1396.1638172824562,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,277,18,1406081,23040,11.8241,180,118.24121052631578,1398.0958973842105,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,278,19,1394022,23040,11.82,180,118.1701403508772,1396.7710589473686,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,279,20,1393333,23040,11.8295,180,118.14850877192983,1397.6377845175439,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,280,21,1392956,23040,11.8307,180,118.17768421052632,1398.1247285894738,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,281,22,1404700,23040,11.8308,180,118.17726315789474,1398.1315649684211,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,282,23,1394115,23040,11.8273,180,118.26043859649121,1398.7016854122805,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,283,24,1393778,23040,11.8279,180,118.19580701754386,1398.008185822807,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,284,25,1393566,23040,11.8256,180,118.17912068965518,1397.5390096275862,100.0,19.0
