cudagraph_mode,batch_size,sm_clock,input_len,model_name,throughput_tokens_per_sec
FULL,64,1230,256,nvidia/Qwen3-8B-NVFP4,4341.074436477358
FULL,16,1230,256,nvidia/Qwen3-8B-NVFP4,1151.6972681466584
FULL,8,1230,256,nvidia/Qwen3-8B-NVFP4,583.8543642981518
FULL,512,1530,256,nvidia/Qwen3-8B-NVFP4,16085.901713619249
FULL,256,1522,256,nvidia/Qwen3-8B-NVFP4,13155.967593151703
FULL,128,1522,256,nvidia/Qwen3-8B-NVFP4,9168.381661839057
FULL,64,1530,256,nvidia/Qwen3-8B-NVFP4,5293.5197726043425
FULL,16,1530,256,nvidia/Qwen3-8B-NVFP4,1403.5986710371315
FULL,8,1530,256,nvidia/Qwen3-8B-NVFP4,712.5845398845868
FULL,512,1815,256,nvidia/Qwen3-8B-NVFP4,18589.69540773883
FULL,256,1815,256,nvidia/Qwen3-8B-NVFP4,15162.648027490197
FULL,128,1815,256,nvidia/Qwen3-8B-NVFP4,10610.697343476917
FULL,64,1822,256,nvidia/Qwen3-8B-NVFP4,6185.377934383449
FULL,16,1830,256,nvidia/Qwen3-8B-NVFP4,1650.206439515896
FULL,8,1830,256,nvidia/Qwen3-8B-NVFP4,838.3101671684627
FULL,512,2107,256,nvidia/Qwen3-8B-NVFP4,20377.028084745092
FULL,512,2115,256,nvidia/Qwen3-8B-NVFP4,19722.20333990438
FULL,256,2107,256,nvidia/Qwen3-8B-NVFP4,16130.116271254788
FULL,128,2115,256,nvidia/Qwen3-8B-NVFP4,11408.773961190034
FULL,128,2122,256,nvidia/Qwen3-8B-NVFP4,11573.178756385592
FULL,64,2122,256,nvidia/Qwen3-8B-NVFP4,6884.957169161795
FULL,16,2130,256,nvidia/Qwen3-8B-NVFP4,1874.4520063733846
FULL,8,2130,256,nvidia/Qwen3-8B-NVFP4,954.5475637098946
FULL,512,2407,256,nvidia/Qwen3-8B-NVFP4,20587.688862892832
FULL,256,2407,256,nvidia/Qwen3-8B-NVFP4,17181.997053909225
FULL,128,2415,256,nvidia/Qwen3-8B-NVFP4,12171.589728365741
FULL,64,2422,256,nvidia/Qwen3-8B-NVFP4,7447.34897469056
FULL,16,2422,256,nvidia/Qwen3-8B-NVFP4,2029.1992648178855
FULL,8,2422,256,nvidia/Qwen3-8B-NVFP4,1032.9165289700807
FULL,8,2287,256,nvidia/Qwen3-8B-NVFP4,1006.0350877192983
FULL,8,2295,256,nvidia/Qwen3-8B-NVFP4,1004.9800349948404
FULL,512,330,256,nvidia/Qwen3-8B-FP8,3349.9568587017343
FULL,256,330,256,nvidia/Qwen3-8B-FP8,3193.832507823348
FULL,128,330,256,nvidia/Qwen3-8B-FP8,2639.858520082439
FULL,64,330,256,nvidia/Qwen3-8B-FP8,2142.354593768183
FULL,16,330,256,nvidia/Qwen3-8B-FP8,627.6172511061754
FULL,8,330,256,nvidia/Qwen3-8B-FP8,362.74233203014785
FULL,512,630,256,nvidia/Qwen3-8B-FP8,6232.001963374707
FULL,256,630,256,nvidia/Qwen3-8B-FP8,5805.145371595174
FULL,128,630,256,nvidia/Qwen3-8B-FP8,4741.43500771
FULL,64,630,256,nvidia/Qwen3-8B-FP8,3619.830087369535
FULL,16,630,256,nvidia/Qwen3-8B-FP8,994.788108597702
FULL,8,630,256,nvidia/Qwen3-8B-FP8,535.8372589476553
FULL,512,930,256,nvidia/Qwen3-8B-FP8,8207.564615613841
FULL,256,922,256,nvidia/Qwen3-8B-FP8,7542.566233627408
FULL,128,900,256,nvidia/Qwen3-8B-FP8,6012.173797938865
FULL,128,907,256,nvidia/Qwen3-8B-FP8,5958.199506586603
FULL,64,922,256,nvidia/Qwen3-8B-FP8,4175.440329365918
FULL,64,930,256,nvidia/Qwen3-8B-FP8,4178.127502524285
FULL,16,922,256,nvidia/Qwen3-8B-FP8,1149.5996359601152
FULL,16,930,256,nvidia/Qwen3-8B-FP8,1150.941134156576
FULL,8,922,256,nvidia/Qwen3-8B-FP8,612.9808920234159
FULL,8,930,256,nvidia/Qwen3-8B-FP8,612.7085974930006
FULL,512,1230,256,nvidia/Qwen3-8B-FP8,10406.672797140758
FULL,256,1230,256,nvidia/Qwen3-8B-FP8,9596.57683082559
FULL,128,1230,256,nvidia/Qwen3-8B-FP8,7621.942574560633
FULL,64,1230,256,nvidia/Qwen3-8B-FP8,4920.919289234719
FULL,16,1230,256,nvidia/Qwen3-8B-FP8,1370.7827804297913
FULL,8,1230,256,nvidia/Qwen3-8B-FP8,727.236814343624
FULL,512,1530,256,nvidia/Qwen3-8B-FP8,12819.280051108204
FULL,256,1515,256,nvidia/Qwen3-8B-FP8,11731.299558930632
FULL,128,1522,256,nvidia/Qwen3-8B-FP8,9286.118151574228
FULL,64,1530,256,nvidia/Qwen3-8B-FP8,6065.749907720665
FULL,16,1530,256,nvidia/Qwen3-8B-FP8,1672.5524337444679
FULL,8,1530,256,nvidia/Qwen3-8B-FP8,885.5933639537261
