cudagraph_mode,batch_size,sm_clock,input_len,model_name,total_energy_based_avg_power_W
FULL,8,1530,256,nvidia/Qwen3-8B-NVFP4,161.03938844034238
FULL,512,1815,256,nvidia/Qwen3-8B-NVFP4,321.3350578571147
FULL,256,1815,256,nvidia/Qwen3-8B-NVFP4,292.0459078125478
FULL,128,1815,256,nvidia/Qwen3-8B-NVFP4,255.77626415688934
FULL,64,1822,256,nvidia/Qwen3-8B-NVFP4,229.7114329398946
FULL,16,1830,256,nvidia/Qwen3-8B-NVFP4,196.63649564692568
FULL,8,1830,256,nvidia/Qwen3-8B-NVFP4,190.4124213745227
FULL,512,2107,256,nvidia/Qwen3-8B-NVFP4,397.45194284880404
FULL,512,2115,256,nvidia/Qwen3-8B-NVFP4,372.4259473258861
FULL,256,2107,256,nvidia/Qwen3-8B-NVFP4,329.80891692990116
FULL,128,2115,256,nvidia/Qwen3-8B-NVFP4,289.0116852452631
FULL,128,2122,256,nvidia/Qwen3-8B-NVFP4,272.67353489283255
FULL,64,2122,256,nvidia/Qwen3-8B-NVFP4,278.5989812665119
FULL,16,2130,256,nvidia/Qwen3-8B-NVFP4,247.45987888585398
FULL,8,2130,256,nvidia/Qwen3-8B-NVFP4,238.4527301670174
FULL,512,2407,256,nvidia/Qwen3-8B-NVFP4,467.2224789147083
FULL,256,2407,256,nvidia/Qwen3-8B-NVFP4,418.5312485403977
FULL,128,2415,256,nvidia/Qwen3-8B-NVFP4,344.47114968334074
FULL,64,2422,256,nvidia/Qwen3-8B-NVFP4,312.24265512423796
FULL,16,2422,256,nvidia/Qwen3-8B-NVFP4,273.1372970716857
FULL,8,2422,256,nvidia/Qwen3-8B-NVFP4,262.8661896600752
FULL,8,2287,256,nvidia/Qwen3-8B-NVFP4,274.2589192982456
FULL,8,2295,256,nvidia/Qwen3-8B-NVFP4,276.1201660438952
FULL,512,330,256,nvidia/Qwen3-8B-FP8,108.23831361493495
FULL,256,330,256,nvidia/Qwen3-8B-FP8,113.73883212788152
FULL,128,330,256,nvidia/Qwen3-8B-FP8,111.88404590191493
FULL,64,330,256,nvidia/Qwen3-8B-FP8,113.49387400195896
FULL,16,330,256,nvidia/Qwen3-8B-FP8,103.14941629658557
FULL,8,330,256,nvidia/Qwen3-8B-FP8,106.50620648625345
FULL,512,630,256,nvidia/Qwen3-8B-FP8,150.50243855315995
FULL,256,630,256,nvidia/Qwen3-8B-FP8,156.4256777515963
FULL,128,630,256,nvidia/Qwen3-8B-FP8,151.38647347156774
FULL,64,630,256,nvidia/Qwen3-8B-FP8,150.54008139133103
FULL,16,630,256,nvidia/Qwen3-8B-FP8,132.73705201912819
FULL,8,630,256,nvidia/Qwen3-8B-FP8,131.7683324149127
FULL,512,930,256,nvidia/Qwen3-8B-FP8,182.55439187511294
FULL,256,922,256,nvidia/Qwen3-8B-FP8,187.32079089515193
FULL,128,900,256,nvidia/Qwen3-8B-FP8,178.96906306733305
FULL,128,907,256,nvidia/Qwen3-8B-FP8,179.55010938881904
FULL,64,922,256,nvidia/Qwen3-8B-FP8,167.8670178376607
FULL,64,930,256,nvidia/Qwen3-8B-FP8,168.08415445144666
FULL,16,922,256,nvidia/Qwen3-8B-FP8,147.2052254891786
FULL,16,930,256,nvidia/Qwen3-8B-FP8,147.32510090716542
FULL,8,922,256,nvidia/Qwen3-8B-FP8,145.79562791378765
FULL,8,930,256,nvidia/Qwen3-8B-FP8,145.00761630826048
FULL,512,1230,256,nvidia/Qwen3-8B-FP8,224.67064761432678
FULL,256,1230,256,nvidia/Qwen3-8B-FP8,232.0548158126522
