batch_size,sm_clock,input_len,model_name,kv_cache_lens,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J
128,330,256,Qwen/Qwen3-8B,286,1394705,23040,11.8296,180,118.32965517241378,1399.7924888275859
128,330,256,Qwen/Qwen3-8B,287,1394711,23040,11.8374,180,118.44363157894736,1402.0646444526315
128,330,256,Qwen/Qwen3-8B,288,1407033,23040,11.8355,180,118.30958620689654,1400.253107551724
128,330,256,Qwen/Qwen3-8B,289,1395164,23040,11.8333,180,118.20847368421052,1398.7963316473683
128,330,256,Qwen/Qwen3-8B,290,1396123,23040,11.8311,180,118.49078947368422,1401.8763793421053
128,330,256,Qwen/Qwen3-8B,291,1407834,23040,11.8542,180,118.48601724137932,1404.5569455827588
128,330,256,Qwen/Qwen3-8B,292,1395736,23040,11.8571,180,118.38125862068965,1403.6584215913792
128,330,256,Qwen/Qwen3-8B,293,1407974,23040,11.8606,180,118.35794827586207,1403.7962813206896
128,330,256,Qwen/Qwen3-8B,294,1409079,23040,11.8788,180,118.55103508771931,1408.2440356000002
128,330,256,Qwen/Qwen3-8B,295,1409213,23040,11.8721,180,118.61659649122807,1408.2280952035087
128,330,256,Qwen/Qwen3-8B,296,1398988,23040,11.8696,180,118.57646551724137,1407.4552151034482
128,330,256,Qwen/Qwen3-8B,297,1410860,23040,11.8579,180,118.66871929824562,1407.1618065666669
128,330,256,Qwen/Qwen3-8B,298,1411747,23040,11.8611,180,118.73066666666665,1408.2763103999998
128,330,256,Qwen/Qwen3-8B,299,1399650,23040,11.8643,180,118.59785964912281,1407.0805862350878
128,330,256,Qwen/Qwen3-8B,300,1411542,23040,11.8676,180,118.70056896551725,1408.6908722551725
128,330,256,Qwen/Qwen3-8B,301,1412345,23040,11.8623,180,118.78050877192982,1409.010029205263
128,330,256,Qwen/Qwen3-8B,302,1411740,23040,11.8658,180,118.6891754385965,1408.3420179192983
64,330,256,Qwen/Qwen3-8B,258,1147788,14400,9.3038,225,123.46262222222222,1148.6715446311111
64,330,256,Qwen/Qwen3-8B,259,1149496,14400,9.304,225,123.58162222222222,1149.8034131555555
64,330,256,Qwen/Qwen3-8B,260,1148721,14400,9.3065,225,123.4749111111111,1149.1192602555554
64,330,256,Qwen/Qwen3-8B,261,1148829,14400,9.3137,225,123.78213333333333,1152.8696552266667
64,330,256,Qwen/Qwen3-8B,262,1149527,14400,9.3069,225,123.73947826086956,1151.630950226087
64,330,256,Qwen/Qwen3-8B,263,1162365,14400,9.3133,225,123.87633333333335,1153.6974552333334
64,330,256,Qwen/Qwen3-8B,264,1149686,14400,9.3174,225,123.61756521739129,1151.7943021565216
64,330,256,Qwen/Qwen3-8B,265,1150357,14400,9.3146,225,123.66941304347827,1151.9311147347828
64,330,256,Qwen/Qwen3-8B,266,1150670,14400,9.3155,225,123.83531111111112,1153.5878406555557
64,330,256,Qwen/Qwen3-8B,267,1151134,14400,9.3148,225,124.06686956521742,1155.6580766260872
64,330,256,Qwen/Qwen3-8B,268,1151971,14400,9.3078,225,124.13604444444445,1155.43347448
64,330,256,Qwen/Qwen3-8B,269,1152478,14400,9.3081,225,124.07404347826085,1154.8936040999997
64,330,256,Qwen/Qwen3-8B,270,1152590,14400,9.309,225,123.87195555555559,1153.124034266667
64,330,256,Qwen/Qwen3-8B,271,1153720,14400,9.311,225,124.1929782608696,1156.3608205869568
64,330,256,Qwen/Qwen3-8B,272,1154146,14400,9.3054,225,124.24697777777779,1156.1678270133334
64,330,256,Qwen/Qwen3-8B,273,1154994,14400,9.3049,225,124.37939130434785,1157.3377981478263
64,330,256,Qwen/Qwen3-8B,274,1155056,14400,9.3054,225,124.46179999999998,1158.1668337199999
64,330,256,Qwen/Qwen3-8B,275,1156354,14400,9.3056,225,124.32021739130434,1156.8742149565217
64,330,256,Qwen/Qwen3-8B,276,1156926,14400,9.306,225,124.5340888888889,1158.9142312000001
64,330,256,Qwen/Qwen3-8B,277,1158165,14400,9.2537,225,124.72995555555558,1154.2135897244448
64,330,256,Qwen/Qwen3-8B,278,1146514,14400,9.2402,225,124.76119999999997,1152.8184402399997
64,330,256,Qwen/Qwen3-8B,279,1158595,14400,9.2459,225,124.84859999999998,1154.3376707399998
64,330,256,Qwen/Qwen3-8B,280,1159782,14400,9.2527,225,124.77660000000002,1154.5204468200002
64,330,256,Qwen/Qwen3-8B,281,1147743,14400,9.2495,225,124.7442,1153.8214779
64,330,256,Qwen/Qwen3-8B,282,1161042,14400,9.2471,225,125.02535555555556,1156.1219653577778
64,330,256,Qwen/Qwen3-8B,283,1162233,14400,9.2437,225,125.1335111111111,1156.6966366577778
64,330,256,Qwen/Qwen3-8B,284,1149883,14400,9.2501,225,125.07737777777778,1156.9782521822221
64,330,256,Qwen/Qwen3-8B,285,1162231,14400,9.2543,225,125.13453333333334,1158.0325118266667
64,330,256,Qwen/Qwen3-8B,286,1163521,14400,9.2472,225,125.2281777777778,1158.010005546667
64,330,256,Qwen/Qwen3-8B,287,1150696,14400,9.2553,225,125.20704444444445,1158.8287584466668
64,330,256,Qwen/Qwen3-8B,288,1164190,14400,9.2539,225,125.35391111111115,1160.0125580311114
64,330,256,Qwen/Qwen3-8B,289,1164383,14400,9.2558,225,125.2577111111111,1159.3603225022223
64,330,256,Qwen/Qwen3-8B,290,1164781,14400,9.2567,225,125.39895555555556,1160.7805118911112
64,330,256,Qwen/Qwen3-8B,291,1152965,14400,9.2598,225,125.39713333333333,1161.15237524
64,330,256,Qwen/Qwen3-8B,292,1165436,14400,9.2619,225,125.48260000000003,1162.2072929400003
64,330,256,Qwen/Qwen3-8B,293,1166002,14400,9.2675,225,125.32071111111112,1161.4096902222223
64,330,256,Qwen/Qwen3-8B,294,1166860,14400,9.267,225,125.60222222222222,1163.9557933333333
64,330,256,Qwen/Qwen3-8B,295,1167230,14400,9.2702,225,125.62331111111114,1164.5532186622227
64,330,256,Qwen/Qwen3-8B,296,1168350,14400,9.2734,225,125.73299999999999,1165.9724022
64,330,256,Qwen/Qwen3-8B,297,1168126,14400,9.2705,225,125.67859999999999,1165.1034613
64,330,256,Qwen/Qwen3-8B,298,1156365,14400,9.2682,225,125.9046888888889,1166.9098375600001
64,330,256,Qwen/Qwen3-8B,299,1157220,14400,9.266,225,125.9502888888889,1167.0553768444447
64,330,256,Qwen/Qwen3-8B,300,1169770,14400,9.2633,225,125.91904444444442,1166.425884402222
64,330,256,Qwen/Qwen3-8B,301,1170878,14400,9.2626,225,126.09275555555554,1167.946757608889
64,330,256,Qwen/Qwen3-8B,302,1171082,14400,9.2713,225,125.99428888888887,1168.1308505755555
16,330,256,Qwen/Qwen3-8B,258,1170567,4320,9.5978,270,121.7537234042553,1168.5678864893614
16,330,256,Qwen/Qwen3-8B,259,1169945,4320,9.6048,270,122.07695833333332,1172.5247693999997
16,330,256,Qwen/Qwen3-8B,260,1169168,4320,9.6101,270,122.13968085106384,1173.7745469468086
16,330,256,Qwen/Qwen3-8B,261,1169792,4320,9.6053,270,121.7061875,1169.02444279375
16,330,256,Qwen/Qwen3-8B,262,1182007,4320,9.6031,270,121.90708510638298,1170.6859289851063
