model_name,sm_clock,curr_batch_size,curr_throughput,prev_batch_size,prev_throughput,abs_increase,pct_increase
Qwen/Qwen3-8B,1230,512,7758.662856330784,256.0,6864.349626846955,894.3132294838288,13.028375273690996
Qwen/Qwen3-8B,1530,16,1122.0238122277926,8.0,580.3669564705092,541.6568557572834,93.3300646631158
Qwen/Qwen3-8B,1530,64,3842.8358534855256,16.0,1122.0238122277926,2720.8120412577327,242.491470466703
Qwen/Qwen3-8B,1530,128,6591.899530131164,64.0,3842.8358534855256,2749.0636766456387,71.53736931417941
Qwen/Qwen3-8B,1830,16,1312.466465800365,8.0,680.5031555007935,631.9633102995716,92.86706537525156
Qwen/Qwen3-8B,1830,64,4440.7435754255175,16.0,1312.466465800365,3128.2771096251527,238.3510124746292
Qwen/Qwen3-8B,1830,128,7459.209269104227,64.0,4440.7435754255175,3018.4656936787096,67.9720781533637
Qwen/Qwen3-8B,2130,16,1395.7458491407162,8.0,723.065693881679,672.6801552590373,93.0316789955621
Qwen/Qwen3-8B,2130,64,4648.775403346761,16.0,1395.7458491407162,3253.029554206045,233.067471145177
Qwen/Qwen3-8B,2130,128,7962.658918952419,64.0,4648.775403346761,3313.8835156056584,71.2850853844201
Qwen/Qwen3-8B,2422,16,1431.7421327167951,8.0,738.6772187237175,693.0649139930777,93.82513720817755
Qwen/Qwen3-8B,2422,64,4759.815573171656,16.0,1431.7421327167951,3328.073440454861,232.4492214348468
Qwen/Qwen3-8B,2422,128,8192.822187963358,64.0,4759.815573171656,3433.0066147917023,72.12478218991481
nvidia/Qwen3-8B-FP8,330,16,627.5651304614208,8.0,362.69291619592593,264.8722142654949,73.02933209823472
nvidia/Qwen3-8B-FP8,330,64,2142.2569447939863,16.0,627.5651304614208,1514.6918143325656,241.36009806964256
nvidia/Qwen3-8B-FP8,330,128,2639.5666749735165,64.0,2142.2569447939863,497.3097301795301,23.21428955513806
nvidia/Qwen3-8B-FP8,330,256,3193.744829015933,128.0,2639.5666749735165,554.1781540424167,20.995042833990052
nvidia/Qwen3-8B-FP8,330,512,3349.9692034886943,256.0,3193.744829015933,156.22437447276116,4.891573461142714
