sm_clock,kv_group,kv_cache_lens,graph_mode,batch_size,avg_power,avg_total_energy_delta,avg_print_index,points
1230,1024,1037,seg,11,202.86457142857142,526145.0,20.5,14
1230,1024,1037,seg,12,203.13992857142856,546776.0,20.5,14
1230,1024,1037,seg,13,203.488,547921.0,19.5,14
1230,1024,1037,seg,14,203.8025,548410.0,20.5,14
1230,1024,1037,seg,15,204.3435,569776.0,20.5,14
1230,1024,1037,seg,16,205.1937142857143,552555.0,20.5,14
1230,1024,1038,all,1,196.9410769230769,471050.0,18.0,13
1230,1024,1038,all,2,190.29846153846154,473500.0,18.0,13
1230,1024,1038,all,3,191.18346153846156,476666.0,18.0,13
1230,1024,1038,all,4,193.8896923076923,464146.0,19.0,13
1230,1024,1038,all,5,193.89615384615385,502114.0,19.0,13
1230,1024,1038,all,6,194.95815384615386,504994.0,19.0,13
1230,1024,1038,all,7,196.36635714285714,489755.0,19.5,14
1230,1024,1038,all,8,197.76376923076924,492851.0,19.0,13
1230,1024,1038,all,9,198.9573846153846,515584.0,19.0,13
1230,1024,1038,all,10,198.67242857142858,514786.0,19.5,14
1230,1024,1038,all,11,199.4007142857143,516585.0,19.5,14
1230,1024,1038,all,12,200.59857142857143,539616.0,20.5,14
1230,1024,1038,all,13,200.50385714285716,539880.0,20.5,14
1230,1024,1038,all,14,201.08414285714284,561529.0,20.5,14
1230,1024,1038,all,15,203.10842857142856,547259.0,20.5,14
1230,1024,1038,all,16,202.8392142857143,565529.0,20.5,14
1230,1024,1038,mani,1,196.82176923076923,471688.0,19.0,13
1230,1024,1038,mani,2,190.28615384615384,473969.0,18.0,13
1230,1024,1038,mani,3,193.2976923076923,482329.0,18.0,13
1230,1024,1038,mani,4,193.79346153846154,482511.0,18.0,13
1230,1024,1038,mani,5,194.65523076923077,485107.0,19.0,13
1230,1024,1038,mani,6,195.05161538461536,505033.0,19.0,13
1230,1024,1038,mani,7,196.47453846153846,490011.0,19.0,13
1230,1024,1038,mani,8,197.79707692307693,512521.0,19.0,13
1230,1024,1038,mani,9,198.2463846153846,514267.0,19.0,13
1230,1024,1038,mani,10,199.18264285714284,516639.0,19.5,14
1230,1024,1038,mani,11,199.7112857142857,537452.0,19.5,14
1230,1024,1038,mani,12,200.52235714285715,519719.0,19.5,14
1230,1024,1038,mani,13,201.4484285714286,522569.0,19.5,14
1230,1024,1038,mani,14,202.07157142857142,543876.0,19.5,14
1230,1024,1038,mani,15,203.05121428571428,546978.0,20.5,14
1230,1024,1038,mani,16,204.068,569863.0,20.5,14
1230,1024,1038,seg,1,197.6956923076923,472649.0,18.0,13
1230,1024,1038,seg,2,191.16892307692308,476021.0,18.0,13
1230,1024,1038,seg,3,194.38123076923077,484107.0,18.0,13
1230,1024,1038,seg,4,194.70046153846152,485643.0,18.0,13
1230,1024,1038,seg,5,197.14115384615386,491937.0,19.0,13
1230,1024,1038,seg,6,197.0976153846154,491058.0,19.0,13
1230,1024,1038,seg,7,197.94392307692308,512942.0,19.0,13
1230,1024,1038,seg,8,198.57099999999997,494837.0,19.0,13
1230,1024,1038,seg,9,202.65550000000002,524964.0,19.5,14
1230,1024,1038,seg,10,203.1935,526688.0,19.5,14
1230,1024,1038,seg,11,202.87364285714287,546495.0,19.5,14
1230,1024,1038,seg,12,203.2687142857143,527235.0,20.5,14
1230,1024,1038,seg,13,203.57585714285713,548048.0,20.5,14
1230,1024,1038,seg,14,203.7312142857143,569235.0,20.5,14
1230,1024,1038,seg,15,204.18542857142856,549392.0,20.5,14
1230,1024,1038,seg,16,205.26392857142858,572724.0,20.5,14
1230,1024,1039,all,1,196.72615384615386,471385.0,18.0,13
1230,1024,1039,all,2,190.40338461538462,473500.0,19.0,13
1230,1024,1039,all,3,191.23984615384614,476916.0,19.0,13
1230,1024,1039,all,4,193.5213076923077,483354.0,18.0,13
1230,1024,1039,all,5,193.8793076923077,502631.0,19.0,13
1230,1024,1039,all,6,194.88392307692308,486008.0,19.0,13
1230,1024,1039,all,7,196.46446153846153,509172.0,19.0,13
1230,1024,1039,all,8,197.6794285714286,512226.0,19.5,14
1230,1024,1039,all,9,199.10669230769233,515773.0,19.0,13
1230,1024,1039,all,10,198.6277142857143,514786.0,19.5,14
1230,1024,1039,all,11,199.51321428571427,516333.0,19.5,14
1230,1024,1039,all,12,200.64728571428572,520315.0,19.5,14
1230,1024,1039,all,13,200.445,559820.0,19.5,14
1230,1024,1039,all,14,201.0025,541314.0,20.5,14
1230,1024,1039,all,15,203.0825,547257.0,20.5,14
1230,1024,1039,all,16,202.74121428571428,565919.0,20.5,14
1230,1024,1039,mani,1,196.73492307692308,470915.0,18.0,13
1230,1024,1039,mani,2,189.655,473969.0,18.0,13
1230,1024,1039,mani,3,193.45607692307692,482358.0,18.0,13
1230,1024,1039,mani,4,193.87338461538462,482748.0,19.0,13
1230,1024,1039,mani,5,194.63607692307693,485265.0,18.0,13
1230,1024,1039,mani,6,194.89614285714285,485998.0,19.5,14
1230,1024,1039,mani,7,196.4846923076923,489900.0,19.0,13
1230,1024,1039,mani,8,197.60453846153845,512311.0,19.0,13
1230,1024,1039,mani,9,198.28114285714287,514038.0,19.5,14
1230,1024,1039,mani,10,199.503,517038.0,19.5,14
1230,1024,1039,mani,11,199.6072142857143,537491.0,19.5,14
1230,1024,1039,mani,12,200.53907142857142,520021.0,20.5,14
1230,1024,1039,mani,13,201.52014285714287,522480.0,19.5,14
1230,1024,1039,mani,14,202.11185714285713,543876.0,20.5,14
1230,1024,1039,mani,15,203.17257142857144,547156.0,19.5,14
1230,1024,1039,mani,16,203.9355,569551.0,20.5,14
1230,1024,1039,seg,1,197.7306923076923,472655.0,18.0,13
1230,1024,1039,seg,2,191.022,476372.0,19.0,13
1230,1024,1039,seg,3,194.30561538461538,465215.0,18.0,13
1230,1024,1039,seg,4,194.78553846153847,485360.0,19.0,13
1230,1024,1039,seg,5,197.13946153846155,511455.0,18.0,13
1230,1024,1039,seg,6,197.12915384615386,510986.0,19.0,13
1230,1024,1039,seg,7,197.80923076923077,493536.0,19.0,13
1230,1024,1039,seg,8,198.52876923076923,494837.0,19.0,13
1230,1024,1039,seg,9,202.5776153846154,545218.0,19.0,13
1230,1024,1039,seg,10,203.10271428571428,546995.0,19.5,14
1230,1024,1039,seg,11,202.95014285714282,545673.0,19.5,14
1230,1024,1039,seg,12,203.19507142857142,527533.0,19.5,14
1230,1024,1039,seg,13,203.4167857142857,567974.0,19.5,14
1230,1024,1039,seg,14,203.77614285714284,569235.0,19.5,14
1230,1024,1039,seg,15,204.16942857142857,569739.0,20.5,14
1230,1024,1039,seg,16,205.036,552161.0,20.5,14
1230,1024,1040,all,1,196.53323076923076,471024.0,18.0,13
1230,1024,1040,all,2,190.34346153846155,474087.0,18.0,13
1230,1024,1040,all,3,191.2636153846154,476916.0,18.0,13
1230,1024,1040,all,4,193.84653846153847,483509.0,19.0,13
1230,1024,1040,all,5,193.89553846153845,502631.0,19.0,13
1230,1024,1040,all,6,194.95753846153846,505425.0,19.0,13
1230,1024,1040,all,7,196.44376923076925,508918.0,19.0,13
1230,1024,1040,all,8,197.755,512370.0,19.0,13
1230,1024,1040,all,9,199.0802857142857,496496.0,19.5,14
1230,1024,1040,all,10,198.71742857142857,514728.0,19.5,14
1230,1024,1040,all,11,199.28057142857142,536659.0,19.5,14
1230,1024,1040,all,12,200.59742857142857,539721.0,19.5,14
1230,1024,1040,all,13,200.2485,539850.0,20.5,14
1230,1024,1040,all,14,200.9857142857143,561764.0,20.5,14
1230,1024,1040,all,15,203.11735714285714,546827.0,20.5,14
